Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Mexico,1531097,1556719,1559135,1667714,1711578,1705098,1674522,1607404,1748852,1743203,1673712,1762126,1806406,1751961,1728687,1785228,1858604,1822626,1760324,1761564,1862338,1757393,1783941,1785684,1819862,1736996,1801108,1829282,1894330,1808338,1881882,1866554,1937133,1878115,1964033,1927598,1983248,1887860,1863568,1932108,1952944,2010976,1913328
Michoacan de Ocampo,238824,237142,243931,244262,243088,267389,281945,261766,308888,294810,289278,278710,283922,253636,266401,253941,246920,254643,251085,246078,287127,279975,258568,268225,284465,267793,276900,290774,302258,294910,268942,274379,298200,318072,309519,300563,315381,299537,295961,306325,340805,333073,337592
Morelos,124257,122546,125097,139320,135796,136712,139759,135285,146058,143895,146963,143729,139126,130258,129960,130902,136524,142008,138073,143452,148046,139747,130067,134168,137977,141631,141569,139797,145851,152642,149109,152047,160081,145177,148314,138935,155582,141978,158968,142487,154135,145128,157169
Nayarit,95703,91737,92666,98379,97937,88024,84994,89408,97199,93291,95325,99936,122279,104454,109778,110369,126867,115374,116359,116825,125922,122463,116774,125177,127417,112658,120026,123989,128628,124537,127731,135823,130956,130154,135721,131649,127212,127703,132441,131703,144464,188393,168005
Nuevo Leon,763113,786483,780107,842094,805798,795595,793009,834870,814824,831539,828411,864925,849667,856794,896281,886733,888310,890839,910614,923924,924157,926918,923887,963863,928469,948985,951920,979037,961803,962241,980495,981890,977237,996202,970949,966648,973246,965477,1006619,1008986,998491,941226,973397
Oaxaca,152941,154417,154963,162376,160296,165978,165908,166616,179478,170417,170380,170281,166192,152324,150677,161029,175628,172448,164970,171920,163856,151732,158674,154050,141653,146427,145985,145688,132362,146631,149836,148116,151773,159581,144270,160332,156798,163394,165979,165591,183276,202551,211468
Puebla,345910,319075,335288,356786,347467,348920,345671,350324,383067,361307,383559,401126,380980,354162,340968,366929,381171,398998,401356,393334,369821,398480,368506,392575,406940,390048,394627,392355,410273,380685,396948,415633,411119,416715,398257,409611,453236,421523,406678,406248,444221,431177,397064
Queretaro,199070,196370,198174,209035,208809,205846,206155,208053,209690,207268,206123,210953,221740,223197,217287,218637,225258,211489,210887,216904,227889,225650,236214,248319,253036,247352,250994,243455,244812,233012,249447,255479,266327,252930,255019,253490,261142,256459,260171,259908,272417,232989,268169
Quintana Roo,191047,198363,194456,198516,204626,201574,197491,206923,211608,208590,212651,220742,224096,238825,238008,235045,232877,231014,219387,233624,231486,235480,238485,237375,237802,246801,243767,242213,245413,257587,257955,252660,254226,261716,260031,271960,270239,275747,264537,267254,274367,224002,245773
San Luis Potosi,219768,216052,221572,233128,229481,222122,214682,219778,230971,220490,225933,229150,234040,237627,232644,257193,251165,239032,244084,253127,253562,239330,232868,246497,249619,247803,250063,254433,271220,267464,270716,284169,277781,281418,273011,288353,288995,290467,287822,284817,317269,291589,309796
Sinaloa,304781,322938,341582,375023,333977,352122,336363,342813,307641,334000,339554,369475,376397,377661,384801,387133,388777,367645,377626,377207,365476,378391,378057,379438,381112,402138,407403,416834,394462,414753,411621,402481,395052,411824,405410,407424,378196,406245,400112,397888,376731,340481,378823
Sonora,304769,290247,282603,323559,329875,325387,334727,334156,363183,375118,372723,381247,398581,387997,381488,373309,403322,397279,397206,398361,399058,389870,391253,397098,389424,384559,405529,411287,402918,410195,411939,443751,454826,440568,458989,467601,437820,440087,468429,457167,447531,400431,430878
Tabasco,228705,236391,206508,219238,229745,221763,211628,228704,230706,230877,215176,223368,246642,235104,230628,243521,254940,240741,255904,251671,261301,242779,226644,243210,243423,227133,228782,238691,227196,211431,210205,215261,233681,220187,213163,217927,227990,220888,219791,217579,263944,208498,220658
Tamaulipas,395918,406233,395595,402421,430266,396058,390191,413229,430658,439039,438197,425486,456159,468405,470327,468545,486251,480507,450856,481423,476162,483274,481006,486226,507702,497212,498246,500919,515117,498674,517006,518164,553231,545686,532476,547396,574887,564696,559351,560622,571552,581933,599466
Tlaxcala,65908,68397,65851,67784,70547,71254,70093,74318,76197,72741,80284,83817,83805,82818,81415,82363,88166,79796,82295,83264,85011,85198,89744,94423,92240,91863,93208,96585,95974,103536,103936,100242,106046,105454,104663,102918,103376,100067,101982,102480,101117,96873,99483
Veracruz de Ignacio de la Llave,555932,570280,559169,583122,562762,562868,556620,561093,541808,573953,517411,596852,577642,584251,549428,593870,555002,529647,565112,533095,529445,523940,522462,534824,521908,505942,511335,535958,546277,537197,511795,503481,514102,521213,556155,566168,606026,589419,580248,593606,611616,618425,572199
Yucatan,235241,225738,218624,229138,228048,228386,220407,232924,229297,227282,219868,231444,236806,234548,238269,244309,251524,242933,250659,271476,270309,261992,257003,247121,257668,256171,264750,285505,275368,282771,269043,271295,282051,278448,280372,283301,277485,296886,289010,304841,314243,322757,347250
Zacatecas,106683,111270,115169,124858,116240,119977,118093,126154,119040,126189,127451,129213,130049,119519,124759,130988,120729,127454,129349,127961,120234,137394,145836,134401,127143,143264,146676,147279,141000,161757,161888,159911,152101,173711,160309,168368,151840,157652,169966,161567,145562,131709,143718
