Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Michoacan de Ocampo,180676,184767,183076,178403,171044,179413,173889,184745,203785,199035,196148,194513,202819,194554,197676,187859,210848,194145,187212,199333,211262,203481,187969,198776,218090,201472,193491,193929,207270,198213,193100,201406,215489,211687,223594,216735,245930,221270,213067,220643,253881,237435,218714
Morelos,95948,97788,102547,103908,105720,101617,104730,105813,111032,111463,105228,105929,113887,106637,107459,111133,105566,106655,105944,104772,111347,106592,98845,100369,111611,109168,107012,105332,109778,114816,108479,112469,115995,105147,105169,99962,112805,109105,112389,113332,128951,127993,130444
Nayarit,72226,71321,72001,73764,76165,73471,67502,74014,74816,75342,73759,81076,92321,84469,87485,90078,100959,85508,86556,86867,93573,89693,93428,99257,102500,94570,98863,100100,98475,96636,100650,100460,100964,101180,107274,104217,99507,101324,99518,103544,115063,123249,114551
Nuevo Leon,454085,461263,461776,480750,480676,467461,452940,477660,467650,484501,467428,503448,464777,508170,495603,479933,468742,497410,509163,504795,511269,526381,521437,533159,511389,559390,541551,556054,544867,555279,534158,566966,568034,593641,578328,589930,569797,597765,592224,625564,608200,624147,641106
Oaxaca,115565,116305,114536,123161,126866,126340,127916,131430,133338,125368,124111,124512,113552,116904,117822,120918,123690,130847,120347,130157,126474,130164,120191,120079,121152,132431,121394,120476,124654,122817,125168,125035,119871,119440,119757,123476,129745,129386,135614,147687,144424,157746,156764
Puebla,218945,229225,228532,239079,240275,246800,230536,255957,246055,247743,256482,256476,269259,260864,251603,269177,285855,293483,277008,264617,260570,249343,238071,242391,257972,242913,248235,261215,289863,276032,253098,268566,272060,275873,274194,286668,306758,288336,302512,298326,328135,336139,287565
Queretaro,127867,132402,137139,147649,152726,146772,141530,143110,145434,138874,137989,148150,146065,137632,142048,147308,142985,145985,142705,152550,162628,152080,151667,161209,161738,154386,156014,162076,165048,147905,148140,159763,164989,157065,170310,170052,175868,171929,177878,182851,184727,171231,185464
Quintana Roo,128597,128478,132034,136339,139316,127955,128491,133927,145176,141360,140377,142886,140265,141259,149997,140943,140514,141057,136082,148351,154011,155119,149189,151230,163716,163809,161640,158503,154984,156268,168333,169732,169303,173695,171859,173872,172846,194195,168627,180108,189632,150426,164225
San Luis Potosi,150275,150373,151414,156239,169441,170054,155134,163412,162738,156927,159156,176422,171733,165364,162067,164305,160558,163548,153236,167190,159040,167025,160008,170358,172341,167030,177446,174568,184690,185604,180964,186723,187478,186205,189304,198561,194628,203298,198532,203155,213496,199087,200223
Sinaloa,216810,227168,212410,220654,217644,227753,213002,248266,242169,236001,244201,248362,248990,256440,263081,251808,250444,245811,259634,272844,276753,264024,261009,259291,260616,264140,276889,282926,278089,282417,276343,282842,293723,302135,291483,296228,283326,277526,289571,308043,299361,295457,301511
Sonora,213895,213160,194672,212811,214519,228700,212613,236013,238832,229508,223937,234778,247122,249797,251328,265304,271486,281821,281782,289803,280637,283138,281469,278627,277738,281184,280327,284450,288423,281947,284523,288956,290975,302652,320690,322504,326537,323266,323310,332336,323828,284790,313519
Tabasco,126031,117937,108231,115839,133211,121423,118423,130330,132017,131267,121892,126718,136906,127184,122605,127269,131644,123006,132650,136134,145168,129998,133573,151640,152878,132539,128275,126834,132387,118775,117382,126855,138196,134652,134044,138413,139265,124017,130493,134481,155745,118087,131876
Tamaulipas,261884,250967,246781,249386,255456,277282,254897,270659,299696,288533,283303,276016,294663,293914,298754,309028,314364,312241,314296,314268,318418,328134,324924,334613,327102,339257,340820,335809,352311,350804,352519,334414,346721,356631,349215,365136,372829,392752,370761,394363,395304,385174,397805
Tlaxcala,48541,50059,50355,51717,52219,50557,53612,50597,51127,52872,53369,56105,60258,55934,56983,54978,58027,58223,57765,60315,62363,62719,60925,64703,61606,63012,63370,65392,66056,67977,67345,67048,68301,63868,69877,68408,74259,76187,75533,76647,80047,75887,70681
Veracruz de Ignacio de la Llave,344985,350102,343030,320258,322469,291245,327066,335743,361985,357117,334405,369905,382140,364899,377853,377614,369275,361452,335804,332307,351980,345845,358299,355673,330218,322823,338720,351060,357471,347821,312066,343750,346137,355388,364597,341184,353098,388324,364274,376997,442882,494248,447353
Yucatan,147141,143474,145051,144094,153765,157143,146690,153419,157742,157275,152845,160011,166808,154609,159471,163900,169782,156075,162758,169815,178772,169560,167612,169276,178484,178271,177529,194662,194948,198653,180485,188619,189561,191201,186660,188287,184157,190178,189498,195100,213135,194252,189701
Zacatecas,72943,75761,80876,82458,75298,79747,81487,79299,82618,83700,85187,85422,81824,78439,75252,77580,77283,76775,77556,81877,80252,83598,81743,78614,82243,85149,88267,94372,89857,104512,103912,100269,88923,102340,100614,101458,97451,105307,105083,114290,108949,96594,105578
